Name,Quantity
Wireless Earbuds,100
Fitness Tracker,50
Portable Charger,200
Smartwatch,75
Bluetooth Speaker,150
Wireless Headphones,100
Tablet,50
Laptop,25
Smart Home Hub,30
Smart Thermostat,40
Wireless Keyboard and Mouse,75
External Hard Drive,100
Smart Speaker,50
Wireless Mouse,100
Bluetooth Headset,75
Wireless Charging Pad,150
Smart Plug,100
Universal Remote,30
Drone,20
Action Camera,40
Virtual Reality Headset,25
Wireless Router,50
Wireless Charging Stand,75
Smart Lock,30
Wireless Router and Modem,20
External SSD,50
Bluetooth Keyboard,100
Wireless Phone Charger,150
Smart Scale,25
Bluetooth Car Adapter,75
Wireless Router and Range Extender,40
Smartwatch and Fitness Tracker,45
Wireless Earbuds,100
Smart Thermostat,30
Wireless Gaming Mouse,50
Bluetooth Soundbar,25
Smart Doorbell,20
Wireless Charging Car Mount,75
Smart Bike Lock,40
Bluetooth Headphones,100
Wireless Sound System,30
Smart Light Bulbs,50
Wireless Portable Speaker,75
Smart Vacuum Cleaner,20
Wireless Ergonomic Mouse,50
Bluetooth Game Controller,25
Smart Door Lock,30
Wireless Charging Pad,100
Smart Thermostat with Voice Control,50
Wireless Noise-Cancelling Headphones,75
Smart Power Strip,40
Wireless Keyboard and Mouse Combo,25
